image_name,color0,color1,color2,color3,color4,color5,color6,color7,color8,color9
15871-psyche4.jpg,#1a2421,#645452,#3d2b1f,#a99a86,#536895,#e3dac9,#8c92ac,#5d8aa8,#645452,#483c32
31407-2doctor.jpg,#eae0c8,#826644,#bc987e,#91a3b0,#3d2b1f,#d3d3d3,#645452,#e6be8a,#536872,#a0785a
26112-32virgin.jpg,#321414,#79443b,#592720,#bc987e,#eae0c8,#3c1414,#ad6f69,#592720,#dea5a4,#a0785a
10156-50relig2.jpg,#826644,#c19a6b,#1a2421,#3d2b1f,#253529,#e3dac9,#321414,#d2b48c,#367588,#4d5d53
24626-magdalen.jpg,#7c4848,#3d2b1f,#bc987e,#796878,#ecebbd,#321414,#592720,#ad6f69,#8b8589,#796878
23582-port_nob.jpg,#1a2421,#6f4e37,#1a2421,#1a1110,#bc987e,#e3dac9,#1a2421,#483c32,#882d17,#d2b48c
40769-11icon.jpg,#826644,#c19a6b,#a67b5b,#1a1110,#3d2b1f,#100c08,#e3dac9,#592720,#592720,#c9c0bb
35522-53mythol.jpg,#2c1608,#826644,#c19a6b,#654321,#a67b5b,#1a1110,#e6be8a,#4d5d53,#253529,#fad6a5
10625-moonligh.jpg,#1a1110,#635147,#1a2421,#3d2b1f,#a99a86,#483c32,#78866b,#cfcfc4,#c9c0bb,#1a1110
20281-vinzenz.jpg,#7c4848,#bc987e,#3d2b1f,#1a2421,#edc9af,#592720,#1a2421,#704241,#a57164,#722f37
16142-chris12.jpg,#536872,#635147,#645452,#23297a,#3d2b1f,#a99a86,#3d2b1f,#4f666a,#1a2421,#722f37
07937-dead_chr.jpg,#3d2b1f,#6f4e37,#343434,#bc987e,#483c32,#534b4f,#cfcfc4,#555,#483c32,#a67b5b
11627-lastcomm.jpg,#1a2421,#1a1110,#100c08,#6f4e37,#a99a86,#8c92ac,#1a1110,#483c32,#536878,#555d50
31178-9exal01.jpg,#a99a86,#7c4848,#cfcfc4,#3d2b1f,#1a2421,#91a3b0,#654321,#8a795d,#aa98a9,#dbd7d2
07167-canal208.jpg,#e3dac9,#7c4848,#bc987e,#3d2b1f,#a9a9a9,#c9c0bb,#483c32,#a0785a,#a9a9a9,#1a2421
43071-portrai2.jpg,#321414,#826644,#321414,#bc987e,#edc9af,#e6be8a,#645452,#483c32,#483c32,#98777b
41538-ferdinan.jpg,#321414,#100c08,#1a2421,#704241,#635147,#100c08,#722f37,#bc987e,#555,#592720
39184-portrait.jpg,#1a2421,#321414,#aa98a9,#696969,#645452,#253529,#a99a86,#d3d3d3,#979aaa,#d6cadd
28551-argent11.jpg,#635147,#91a3b0,#3d2b1f,#a99a86,#e3dac9,#536878,#918151,#1a2421,#483c32,#d2b48c
18089-9tobias.jpg,#a99a86,#645452,#979aaa,#e3dac9,#3d2b1f,#d6cadd,#696969,#aa98a9,#696969,#918151
15246-reading.jpg,#321414,#100c08,#6f4e37,#bc987e,#f0ead6,#918151,#4b3621,#1a1110,#c9c0bb,#1a2421
18986-11guilla.jpg,#b38b6d,#826644,#1a2421,#1c352d,#8b8589,#3d2b1f,#918151,#4f666a,#414833,#738678
23373-10portge.jpg,#1a1110,#000,#6f4e37,#c19a6b,#4b5320,#ecebbd,#e6be8a,#918151,#555d50,#8fbc8f
24783-0merode.jpg,#933d41,#c19a6b,#321414,#321414,#efdecd,#e5e4e2,#722f37,#f5f5f5,#a67b5b,#d9603b
08822-joseph.jpg,#1a1110,#7c4848,#cd9575,#722f37,#3d2b1f,#1a2421,#bf4f51,#edc9af,#1a1110,#e6be8a
08279-aminta.jpg,#321414,#6f4e37,#c19a6b,#eae0c8,#321414,#882d17,#e6be8a,#918151,#654321,#1a1110
19059-daughter.jpg,#1a1110,#f2f3f4,#3d2b1f,#bc8f8f,#7c4848,#edc9af,#645452,#f4f0ec,#aa98a9,#483c32
19680-townhall.jpg,#79443b,#efdecd,#3c1414,#dbd7d2,#b39eb5,#bc987e,#b39eb5,#592720,#321414,#c4c3d0
